date,wth_stn,count
2012-11-12,CP,350
2012-11-12,FT,60
2012-11-12,LG,137
2012-11-13,CP,428
2012-11-13,FT,64
2012-11-13,LG,156
2012-11-14,CP,407
2012-11-14,FT,73
2012-11-14,LG,145
2012-11-15,CP,419
2012-11-15,FT,69
2012-11-15,LG,135
2012-11-16,CP,404
2012-11-16,FT,80
2012-11-16,LG,188
2012-11-17,CP,347
2012-11-17,FT,70
2012-11-17,LG,125
2012-11-18,CP,273
2012-11-18,FT,50
2012-11-18,LG,123
2012-11-19,CP,356
2012-11-19,FT,68
2012-11-19,LG,161
2012-11-20,CP,453
2012-11-20,FT,81
2012-11-20,LG,137
2012-11-21,CP,436
2012-11-21,FT,74
2012-11-21,LG,179
2012-11-22,CP,210
2012-11-22,FT,58
2012-11-22,LG,116
2012-11-23,CP,273
2012-11-23,FT,49
2012-11-23,LG,159
2012-11-24,CP,263
2012-11-24,FT,68
2012-11-24,LG,127
2012-11-25,CP,245
2012-11-25,FT,53
2012-11-25,LG,117
2012-11-26,CP,345
2012-11-26,FT,59
2012-11-26,LG,159
2012-11-27,CP,370
2012-11-27,FT,64
2012-11-27,LG,149
2012-11-28,CP,322
2012-11-28,FT,51
2012-11-28,LG,139
2012-11-29,CP,335
2012-11-29,FT,55
2012-11-29,LG,125
2012-11-30,CP,367
2012-11-30,FT,61
2012-11-30,LG,148
2012-12-01,CP,288
2012-12-01,FT,51
2012-12-01,LG,141
2012-12-02,CP,292
2012-12-02,FT,45
2012-12-02,LG,118
2012-12-03,CP,382
2012-12-03,FT,81
2012-12-03,LG,158
2012-12-04,CP,398
2012-12-04,FT,80
2012-12-04,LG,143
2012-12-05,CP,334
2012-12-05,FT,73
2012-12-05,LG,107
2012-12-06,CP,386
2012-12-06,FT,79
2012-12-06,LG,155
2012-12-07,CP,461
2012-12-07,FT,73
2012-12-07,LG,180
2012-12-08,CP,348
2012-12-08,FT,62
2012-12-08,LG,170
2012-12-09,CP,333
2012-12-09,FT,61
2012-12-09,LG,150
2012-12-10,CP,368
2012-12-10,FT,78
2012-12-10,LG,173
2012-12-11,CP,385
2012-12-11,FT,49
2012-12-11,LG,144
2012-12-12,CP,360
2012-12-12,FT,53
2012-12-12,LG,137
2012-12-13,CP,339
2012-12-13,FT,56
2012-12-13,LG,150
2012-12-14,CP,419
2012-12-14,FT,62
2012-12-14,LG,167
2012-12-15,CP,325
2012-12-15,FT,65
2012-12-15,LG,133
2012-12-16,CP,315
2012-12-16,FT,49
2012-12-16,LG,136
2012-12-17,CP,407
2012-12-17,FT,64
2012-12-17,LG,178
2012-12-18,CP,408
2012-12-18,FT,75
2012-12-18,LG,162
2012-12-19,CP,383
2012-12-19,FT,59
2012-12-19,LG,148
2012-12-20,CP,402
2012-12-20,FT,73
2012-12-20,LG,131
2012-12-21,CP,461
2012-12-21,FT,75
2012-12-21,LG,215
2012-12-22,CP,324
2012-12-22,FT,59
2012-12-22,LG,159
2012-12-23,CP,227
2012-12-23,FT,52
2012-12-23,LG,129
2012-12-24,CP,294
2012-12-24,FT,70
2012-12-24,LG,154
2012-12-25,CP,197
2012-12-25,FT,36
2012-12-25,LG,121
2012-12-26,CP,312
2012-12-26,FT,51
2012-12-26,LG,168
2012-12-27,CP,344
2012-12-27,FT,62
2012-12-27,LG,119
2012-12-28,CP,353
2012-12-28,FT,45
2012-12-28,LG,159
2012-12-29,CP,269
2012-12-29,FT,62
2012-12-29,LG,111
2012-12-30,CP,254
2012-12-30,FT,36
2012-12-30,LG,121
