date,latitude,longitude,unique_key,cp_sum_sqrd,lg_sum_sqrd,ft_sum_sqrd
2019-07-17,,,4172113,,,
2019-06-28,,,4167051,,,
2019-06-30,,,4162355,,,
2019-06-11,,,4149520,,,
2019-06-09,,,4148453,,,
2019-06-09,,,4148372,,,
2019-05-28,,,4141338,,,
2019-06-12,,,4150606,,,
2019-05-08,,,4128199,,,
2019-05-18,,,4134441,,,
2019-05-09,,,4128729,,,
2019-05-22,,,4137100,,,
2019-05-23,,,4137590,,,
2019-04-23,,,4119587,,,
2019-04-04,,,4108479,,,
2019-04-11,,,4113936,,,
2019-04-18,,,4116956,,,
2019-04-25,,,4121053,,,
2019-04-25,,,4121208,,,
2019-04-22,,,4119071,,,
2019-04-01,,,4106790,,,
2019-03-24,,,4102425,,,
2019-03-22,,,4102175,,,
2019-02-27,,,4088924,,,
2019-02-08,,,4077390,,,
2019-02-27,,,4088406,,,
2019-02-11,,,4078930,,,
2019-02-21,,,4084661,,,
2015-04-24,,,3208779,,,
2015-02-01,,,3163429,,,
2015-03-24,,,3192131,,,
2015-04-20,,,3205967,,,
2015-04-14,,,3202729,,,
2015-04-18,,,3205125,,,
2015-04-11,,,3201509,,,
2015-04-16,,,3203414,,,
2015-04-05,,,3198112,,,
2015-04-06,,,3198488,,,
2015-04-15,,,3203838,,,
2015-04-05,,,3198584,,,
2015-04-09,,,3200154,,,
2015-03-29,,,3194659,,,
2015-03-25,,,3191927,,,
2015-04-15,,,3203059,,,
2015-04-08,,,3199345,,,
2015-03-28,,,3193960,,,
2015-04-06,,,3199195,,,
2015-03-29,,,3193831,,,
2015-04-20,,,3205816,,,
2015-03-24,,,3192314,,,
2015-04-13,,,3202319,,,
2015-04-18,,,3207637,,,
2015-02-25,,,3176467,,,
2015-02-25,,,3175569,,,
2015-03-10,,,3183964,,,
2015-03-01,,,3179303,,,
2015-03-15,,,3186751,,,
2015-03-05,,,3181462,,,
2015-03-17,,,3188119,,,
2015-02-27,,,3178225,,,
2015-03-16,,,3187872,,,
2015-03-22,,,3190433,,,
2015-02-25,,,3175556,,,
2015-02-28,,,3177871,,,
2015-02-09,,,3170401,,,
2015-02-12,,,3167996,,,
2015-02-21,,,3173308,,,
2015-02-17,,,3171755,,,
2015-02-09,,,3167236,,,
2015-02-23,,,3174640,,,
2015-02-08,,,3165970,,,
2015-02-11,,,3167563,,,
2015-02-17,,,3171338,,,
2015-02-23,,,3175332,,,
2015-02-08,,,3166483,,,
2015-02-03,,,3163144,,,
2015-02-18,,,3171362,,,
2015-01-21,,,3156782,,,
2015-01-21,,,3157023,,,
2015-01-20,,,3156580,,,
2015-01-06,,,3148781,,,
2014-11-13,,,2966012,,,
2015-01-11,,,3151743,,,
2015-01-06,,,3148445,,,
2014-12-22,,,3141567,,,
2015-01-15,,,3153552,,,
2014-12-28,,,3144220,,,
2014-12-23,,,3141769,,,
2015-01-17,,,3155342,,,
2015-01-12,,,3152287,,,
2015-01-08,,,3150021,,,
2015-01-01,,,3146119,,,
2015-01-07,,,3149434,,,
2014-12-27,,,3144095,,,
2014-12-23,,,3142709,,,
2014-12-19,,,3139550,,,
2014-12-18,,,3139395,,,
2014-12-18,,,3139759,,,
2014-11-28,,,3128016,,,
2014-11-24,,,3125550,,,
2014-12-01,,,3130643,,,
2014-12-09,,,3133536,,,
2014-12-15,,,3137278,,,
2014-12-05,,,3131918,,,
2014-12-16,,,3137560,,,
2014-12-04,,,3131092,,,
2014-12-04,,,3130863,,,
2014-11-25,,,3126477,,,
2014-12-11,,,3135589,,,
2014-12-08,,,3133814,,,
2014-11-26,,,3127581,,,
2014-10-29,,,2815777,,,
2014-11-02,,,2817379,,,
2014-11-17,,,2865764,,,
2014-11-20,,,2827854,,,
2014-11-20,,,2827167,,,
2014-11-03,,,2818071,,,
2014-11-11,,,2822628,,,
2014-11-21,,,2828183,,,
2014-11-01,,,2818154,,,
2014-11-08,,,3035384,,,
2014-11-01,,,2822110,,,
2014-11-01,,,3097970,,,
2014-11-11,,,2822181,,,
2014-11-19,,,2826613,,,
2014-11-04,,,2819050,,,
2014-10-25,,,2914800,,,
2014-10-26,,,2814295,,,
2014-10-25,,,2914801,,,
2014-09-07,,,1020727,,,
2014-08-05,,,2934904,,,
2014-08-05,,,1003859,,,
2014-08-03,,,2934898,,,
2014-10-16,,,2809507,,,
2014-10-06,,,1034476,,,
2014-10-14,,,1954800,,,
2019-02-18,,,4083174,,,
2019-01-19,,,4058354,,,
2019-01-17,,,4056696,,,
2019-02-02,,,4073254,,,
2019-02-02,,,4073603,,,
2019-02-02,,,4073265,,,
2019-01-02,,,4060909,,,
2019-01-05,,,4062575,,,
