date,latitude,longitude,unique_key,cp_sum_sqrd,lg_sum_sqrd,ft_sum_sqrd,minDistance,wth_stn
2015-05-01,,,3212462,,,,0,CP
2015-05-11,,,3219391,,,,0,CP
2015-05-20,,,3224212,,,,0,CP
2015-05-10,,,3218754,,,,0,CP
2015-05-04,,,3214183,,,,0,CP
2015-05-05,,,3215483,,,,0,CP
2015-04-21,,,3207004,,,,0,CP
2019-07-25,,,4177338,,,,0,CP
2019-07-25,,,4176637,,,,0,CP
2019-08-08,,,4185347,,,,0,CP
2019-08-09,,,4185423,,,,0,CP
2019-07-31,,,4180651,,,,0,CP
2019-07-22,,,4176996,,,,0,CP
2019-07-17,,,4172113,,,,0,CP
2019-06-28,,,4167051,,,,0,CP
2019-06-30,,,4162355,,,,0,CP
2019-06-11,,,4149520,,,,0,CP
2019-06-09,,,4148453,,,,0,CP
2019-06-09,,,4148372,,,,0,CP
2019-05-28,,,4141338,,,,0,CP
2019-06-12,,,4150606,,,,0,CP
2019-05-08,,,4128199,,,,0,CP
2019-05-18,,,4134441,,,,0,CP
2019-05-09,,,4128729,,,,0,CP
2019-05-22,,,4137100,,,,0,CP
2019-05-23,,,4137590,,,,0,CP
2019-04-23,,,4119587,,,,0,CP
2019-04-04,,,4108479,,,,0,CP
2019-04-11,,,4113936,,,,0,CP
2019-04-18,,,4116956,,,,0,CP
2019-04-25,,,4121053,,,,0,CP
2019-04-25,,,4121208,,,,0,CP
2019-04-22,,,4119071,,,,0,CP
2019-04-01,,,4106790,,,,0,CP
2019-03-24,,,4102425,,,,0,CP
2019-03-22,,,4102175,,,,0,CP
2019-02-27,,,4088924,,,,0,CP
2019-02-08,,,4077390,,,,0,CP
2019-02-27,,,4088406,,,,0,CP
2019-02-11,,,4078930,,,,0,CP
2019-02-21,,,4084661,,,,0,CP
2015-04-24,,,3208779,,,,0,CP
2015-02-01,,,3163429,,,,0,CP
2015-03-24,,,3192131,,,,0,CP
2015-04-20,,,3205967,,,,0,CP
2015-04-14,,,3202729,,,,0,CP
2015-04-18,,,3205125,,,,0,CP
2015-04-11,,,3201509,,,,0,CP
2015-04-16,,,3203414,,,,0,CP
2015-04-05,,,3198112,,,,0,CP
2015-04-06,,,3198488,,,,0,CP
2015-04-15,,,3203838,,,,0,CP
2015-04-05,,,3198584,,,,0,CP
2015-04-09,,,3200154,,,,0,CP
2015-03-29,,,3194659,,,,0,CP
2015-03-25,,,3191927,,,,0,CP
2015-04-15,,,3203059,,,,0,CP
2015-04-08,,,3199345,,,,0,CP
2015-03-28,,,3193960,,,,0,CP
2015-04-06,,,3199195,,,,0,CP
2015-03-29,,,3193831,,,,0,CP
2015-04-20,,,3205816,,,,0,CP
2015-03-24,,,3192314,,,,0,CP
2015-04-13,,,3202319,,,,0,CP
2015-04-18,,,3207637,,,,0,CP
2015-02-25,,,3176467,,,,0,CP
2015-02-25,,,3175569,,,,0,CP
2015-03-10,,,3183964,,,,0,CP
2015-03-01,,,3179303,,,,0,CP
2015-03-15,,,3186751,,,,0,CP
2015-03-05,,,3181462,,,,0,CP
2015-03-17,,,3188119,,,,0,CP
2015-02-27,,,3178225,,,,0,CP
2015-03-16,,,3187872,,,,0,CP
2015-03-22,,,3190433,,,,0,CP
2015-02-25,,,3175556,,,,0,CP
2015-02-28,,,3177871,,,,0,CP
2015-02-09,,,3170401,,,,0,CP
2015-02-12,,,3167996,,,,0,CP
2015-02-21,,,3173308,,,,0,CP
2015-02-17,,,3171755,,,,0,CP
2015-02-09,,,3167236,,,,0,CP
2015-02-23,,,3174640,,,,0,CP
2015-02-08,,,3165970,,,,0,CP
2015-02-11,,,3167563,,,,0,CP
2015-02-17,,,3171338,,,,0,CP
2015-02-23,,,3175332,,,,0,CP
2015-02-08,,,3166483,,,,0,CP
2015-02-03,,,3163144,,,,0,CP
2015-02-18,,,3171362,,,,0,CP
2015-01-21,,,3156782,,,,0,CP
2015-01-21,,,3157023,,,,0,CP
2015-01-20,,,3156580,,,,0,CP
2015-01-06,,,3148781,,,,0,CP
2014-11-13,,,2966012,,,,0,CP
2015-01-11,,,3151743,,,,0,CP
2015-01-06,,,3148445,,,,0,CP
2014-12-22,,,3141567,,,,0,CP
2015-01-15,,,3153552,,,,0,CP
2014-12-28,,,3144220,,,,0,CP
2014-12-23,,,3141769,,,,0,CP
2015-01-17,,,3155342,,,,0,CP
2015-01-12,,,3152287,,,,0,CP
2015-01-08,,,3150021,,,,0,CP
2015-01-01,,,3146119,,,,0,CP
2015-01-07,,,3149434,,,,0,CP
2014-12-27,,,3144095,,,,0,CP
2014-12-23,,,3142709,,,,0,CP
2014-12-19,,,3139550,,,,0,CP
2014-12-18,,,3139395,,,,0,CP
2014-12-18,,,3139759,,,,0,CP
2014-11-28,,,3128016,,,,0,CP
2014-11-24,,,3125550,,,,0,CP
2014-12-01,,,3130643,,,,0,CP
2014-12-09,,,3133536,,,,0,CP
2014-12-15,,,3137278,,,,0,CP
2014-12-05,,,3131918,,,,0,CP
2014-12-16,,,3137560,,,,0,CP
2014-12-04,,,3131092,,,,0,CP
